"import Variantconfigurations","Variantenkonfigurationen importieren"
"Imported from DHL MeinPaket.de","Importiert von MeinPaket.de"
"MeinPaket.de Order No.","MeinPaket.de Best.Nr."
"Request could not be built.","Die Anfrage konnte nicht generiert werden."
"MeinPaket.de server returned HTPP code %s.","Der MeinPaket.de-Server hat den HTTP-Fehlercode %s zurückgeliefert."
"Connection to MeinPaket.de server timed out.","Zeitüberschreitung beim Verbindungsaufbau zu MeinPaket.de-Server."
"Invalid response from MeinPaket.de server.","Ungültige Antwort von MeinPaket.de-Server erhalten."
"Error on tranfering cancelled items to MeinPaket.de.","Bei der Stornierung der Bestellpositionen bei MeinPaket.de ist ein Fehler aufgetreten."
"MeinPaket.de server returned error code %s.","Der MeinPaket.de-Server hat den Fehlercode %s zurückgegeben."
"Shipment has not been accepted by MeinPaket.de.","Die Lieferung wurde von MeinPaket.de nicht akzeptiert."
"Error on transfering shipment to MeinPaket.de.","Fehler beim Senden der Lieferinformationen zu MeinPaket.de."
"Refund has not been accepted by MeinPaket.de.","Die Gutschrift wurde nicht von MeinPaket.de akzeptiert."
"Error on transfering refund to MeinPaket.de.","Fehler beim Senden der Gutschrift an MeinPaket.de."
"Tracking code has not been accepted by MeinPaket.de.","Der gesendete Tracking-Code für diese Lieferung wurde von MeinPaket.de nicht akzeptiert."
"MeinPaket.de returned error code %s.","MeinPaket.de lieferte den Fehler-Code %s zurück."
"Error on transfering tracking code to MeinPaket.de.","Fehler beim Senden des Tracking-Codes am MeinPaket.de."
"There were no products that could be exported.","Es konnten keine Produkte exportiert werden."
"Product information has not been accepted by MeinPaket.de.","Die Produktinformationen wurden von MeinPaket.de nicht akzeptiert."
"Error on transfering product information to MeinPaket.de.","Fehler beim Exportieren des Produktes nach MeinPaket.de."
"Thank you for your order!","Vielen Dank für Ihre Bestellung!"
"Your order was successfully processed at MeinPaket.de. We will recieve your order shortly.","Ihre Bestellung wurde bei MeinPaket.de erfogreich bearbeitet. Wir werden Ihre Bestellung in Kürze erhalten."
"Ooops!","Uuups!"
"Something has gone terribly wrong while processing your order at MeinPaket.de! Please contact our customer service.","Etwas ist schiefgelaufen, während Ihre Bestellung bei MeinPaket.de bearbeitet wurde. Bitte kontaktieren Sie unseren Kundenservice!"
"Checkout aborted!","Bestellvorgang abgebrochen!"
"You decided to abort the external checkout at DHL MeinPaket. Your order has NOT been processed yet. Feel free to continue shopping and use our own checkout.","Sie haben den POSTPAY abgebrochen. Ihre Bestellung wurde noch NICHT verabeitet. Gerne können Sie Ihren Einkauf fortsetzen und unseren Checkout nutzen."
"Continue shopping","Einkauf fortsetzen"
"Checkout","Checkout"
"POSTPAY available","POSTPAY anbieten"
"This defines wether the external Checkout with DHL is available for customers.","Dies legt fest, ob der POSTPAY für Ihre Kunden verfügbar ist."
"The MeinPaket server did not deliver a valid response. Have a look at the system log for more information.","Der MeinPaket-Server hat keine gültige Antwort für die Bestellungsabfrage geliefert. Für mehr Informationen zu diesem Problem, schauen Sie bitte im System-Log nach."
"You are not authorized to execute the requested functionality on MeinPaket","Sie sind nicht berechtigt diese Funktionalität der MeinPaket-Plattform zu nutzen"
"The provided data was incorrect","MeinPaket konnte die gegebenen Daten nicht akzeptieren"
"The requested modification is not allowed. Please contact the MeinPaket support team","Diese Modifikation ist nicht erlaubt. Bitte kontaktieren Sie das MeinPaket Support Team"
"The product is not mapped to neither a marketplace nor a shop category","Dieses Produkt ist weder einer Markplatzkategorie noch einer Shopkategorie zugewiesen"
"The referenced product cannot be sold","Das Produkt kann nicht auf MeinPaket verkauft werden"
"The referenced marketplace category could not be found at MeinPaket","Die angegebene Marktplatzkategorie kann auf MeinPaket nicht gefunden werden. Bitte importieren Sie die Marktplatzkategorien erneut, um auf dem aktuellen Stand zu arbeiten"
"The referenced shop category could not be found at MeinPaket","Die angegebene Shop-Kategorie konnte bei MeinPaket nicht gefunden werden"
"Default Shipment Method","Standard Versandmethode"
"Shipment method which is used for order import and POSTPAY.","Versandmethode, die beim Import von MeinPaket-Bestellungen und für POSTPAY verwendet wird."
"Submit shipping costs for POSTPAY","Versandkosten übertragen"
"If set to yes, the shippingscosts for the POSTPAY will be calculated based on the default shipment method.","Legt fest, ob die Versandkosten basierend auf der eingestellten Standard Liefermethode mit übertragen werden."
"Error on POSTPAY","Fehler bei POSTPAY"
"The current version of POSTPAY does not support configurable products.","POSTPAY unterstützt in der aktuellen Version keine konfigurierbaren Produkte."
"attribute mapping","Attribut-Mapping"
"Attribute Mapping","Attribut-Mapping"
"Attribute mappings","Attribut-Mappings"
"Attribute Mappings","Attribut-Mappings"
"Add Attribute Mapping","Neues Attribut-Mapping"
"Save Mapping","Mapping speichern"
"Create Attribute Mapping","Neues Attribut-Mapping anlegen"
"Edit Attribute Mapping","Attribut-Mapping bearbeiten"
"Magento Attribute Set","Magento Attribut-Set"
"Please select attribute set and variant.","Bitte wählen Sie ein Attribut-Set und eine Varianten-Konfiguration aus."
"MeinPaket Variant Configuration","MeinPaket Varianten-Konfiguration"
"_Custom_","_Benutzerdefiniert_"
"not assigned","nicht zugewiesen"
"Magento Attribute","Magento-Attribut"
"MeinPaket Attribute","MeinPaket-Attribut"
"Magento Value","Magento-Wert"
"MeinPaket Value","MeinPaket-Wert"
"Edit Value Mapping","bearbeiten"
"Delete Mapping","löschen"
"No mapable attribute values available for the selected MeinPaket attribute.","Für das ausgewählte MeinPaket-Attribut existieren keine zuweisbaren Attribut-Werte."
"Magento attribute values will be used instead.","Es werden direkt die Werte des Magento-Attributes verwendet."
"_Auto_","_Automatisch_"
"Apply a mapping for the following MeinPaket attributes","Bitte legen Sie für folgenden MeinPaket-Attribute ein Attribut-Mapping fest"
"A mapping for the Magento attribute set already exists.","Ein Mapping für das ausgewählte Attribut-Set existiert bereits."
"Your shopping cart contains product types that can not be handled by POSTPAY.","Ihr Einkaufswagen enthält Produkttypen, die von POSTPAY nich verarbeitet werden können."
"Not available.","Nicht verfügbar."
"Product export failed for unknown reason.","Der Produktexport ist aus einem unbekannten Grund fehlgeschlagen."
"Missing value mapping for attribute","Fehlende Wertezuweisung für Attribut"
"Default customer email","Standard Kunden-E-Mail-Adresse"
"Customer","Kunde"
"This eMail address is used as the default one for orders that do not include one.","Diese E-Mail-Adresse wird als Standard-Adresse für Bestellungen verwendet, für die keine Kunden-E-Mail-Adresse geliefert wird."
"The following configurable products could not be exported","Die folgenden konfigurierbaren Produkte konnten nicht exportiert werden"
"Ivalid modification of element","Unerlaubte Modifikation des Elementes"
"Variant group does not exist on MeinPaket","Die verwendeten Produktattribute sind als MeinPaket-Variantenkonfiguration nicht bekannt."
"Color","Farbe"
"Size","Größe"
"Dimension","Abmessung"
"Quantity","Anzahl"
"Width","Breite"
"Format","Format"
"Material","Material"
"Length","Länge"
"Flavor","Geschmacksrichtung"
"Inscription","Beschriftung"
"Model","Modell"
"Platform","Plattform"
"Radius","Radius"
"Strength","Stärke"
"Diameter","Durchmesser"
"Cylinder","Zylinder"
"Axis","Achse"
"Bust Measurement",Brustumfang
"Cup","Cup"
"Meinpaket Active","Meinpaket aktivieren"
"Disable Postpay using Configuration / Payment Methods / Postpay Standard and Postpay Express.","Deaktivierung von Postpay unter Konfiguration / Bezahlmethoden / Postpay Standard und Postpay Express."
